Time (years),Lake Huron,Lake Erie,Lake Ontario
0,3500,1800,2400
0.05,3482.0,1786.85,2418.0
0.1,3464.099,1773.8376999999998,2435.6553
0.15000000000000002,3446.2964555000003,1760.9611658999997,2452.9704468
0.2,3428.5918249947504,1748.2184954190498,2469.9499251054
0.25,3410.9845699572793,1735.607817538978,2486.5981584723104
0.3,3393.4741548225143,1723.1272919580415,2502.919510237178
0.35,3376.0600469709902,1710.7751085543205,2518.918284431
0.39999999999999997,3358.7417167126496,1698.5494868586832,2534.598726678392
0.44999999999999996,3341.51863727073,1686.4486755371465,2549.9650250817776
0.49999999999999994,3324.390284765741,1674.4709518824668,2565.021311090956
0.5499999999999999,3307.3561381995296,1662.614621314794,2579.7716603582944
0.6,3290.415679439432,1650.8780168912251,2594.220093579811
0.65,3273.5683932025154,1639.2594988240999,2608.370577322374
0.7000000000000001,3256.8137670399014,1627.75745400788,2622.227024837274
0.7500000000000001,3240.151291321182,1616.3702955544575,2635.793296860392
0.8000000000000002,3223.580459218915,1605.0964623367438,2649.0732023992095
0.8500000000000002,3207.100766693211,1593.9344185403863,2662.070499506876
0.9000000000000002,3190.711712476398,1582.882653223472,2674.7888960435616
0.9500000000000003,3174.4127980577778,1571.9396798840698,2687.2320504253225
1.0000000000000002,3158.20352766846,1561.1040360354743,2699.403572360684
1.0500000000000003,3142.0834082662836,1550.3742827890123,2711.3070235751584
1.1000000000000003,3126.051949520819,1539.7490044442748,2722.9459185239098
1.1500000000000004,3110.1086637984545,1529.2268080866422,2734.323725092763
1.2000000000000004,3094.253066147563,1518.8063231919741,2745.443865287766
1.2500000000000004,3078.4846742837512,1508.48620123833,2756.309715913495
1.3000000000000005,3062.8030085751907,1498.2651153246009,2766.924609240304
1.3500000000000005,3047.207592028027,1488.1417597959216,2777.291833660705
1.4000000000000006,3031.697950271873,1478.1148498757493,2787.414634335067
1.4500000000000006,3016.273611545378,1468.1831213044811,2797.2962138268203
1.5000000000000007,3000.9341066818783,1458.3453299845,2806.93973272734
1.5500000000000007,2985.678969095128,1448.6002516315293,2816.348310270697
1.6000000000000008,2970.507734765105,1438.946681432185,2825.5250249384403
1.6500000000000008,2955.4199422238967,1429.3834337076137,2834.472915054589
1.7000000000000008,2940.415132541665,1419.909341583108,2843.1949793709987
1.7500000000000009,2925.492849312686,1410.5232566635912,2851.6941776432686
1.800000000000001,2910.652638641466,1401.2240487148663,2859.973431197354
1.850000000000001,2895.894049128938,1392.0106053505267,2868.0356234870374
1.900000000000001,2881.216631858729,1382.8818317244263,2875.8836006424244
1.950000000000001,2866.619940383506,1373.8366502286096,2883.5201720096097
2.000000000000001,2852.103530711397,1364.874000196604,2890.948110681667
2.0500000000000007,2837.6669612924843,1355.9928376119776,2898.1701540211156
2.1000000000000005,2823.3097930053755,1347.1921348220708,2905.1890041740044
2.1500000000000004,2809.031589143846,1338.4708802568032,2912.0073285757576
2.2,2794.831915403555,1329.8280781524718,2918.6277604489255
2.25,2780.7103398688355,1321.2627482804469,2925.0528992929767
2.3,2766.666432999557,1312.7739256806774,2931.285311366267
2.3499999999999996,2752.6997676180595,1304.3606603999228,2937.327530160321
2.3999999999999995,2738.80991889616,1296.0220172346235,2943.182056866558
