Time (years),Lake Huron,Lake Erie,Lake Ontario
43.64999999999966,32.092820147878,14.120728573446597,191.20085133197765
43.699999999999655,31.91630963706467,14.043065969937887,190.3078193383078
43.74999999999965,31.740769934060815,13.965830485482861,189.41874760973684
43.79999999999965,31.56619569942348,13.889019771381504,188.53362007281711
43.849999999999646,31.39258162307665,13.812631491843465,187.65242070826508
43.89999999999964,31.21992242414973,13.736663323917204,186.77513355086867
43.94999999999964,31.048212850816906,13.661112957419519,185.90174268939398
43.99999999999964,30.877447680137415,13.58597809486546,185.03223226649118
44.049999999999635,30.70762171789666,13.511256451398637,184.1665864785998
44.09999999999963,30.53872979844823,13.436945754721894,183.3047895758534
44.14999999999963,30.370766784556764,13.363043745028365,182.44682586198326
44.199999999999626,30.203727567241703,13.289548174932918,181.59267969422186
44.24999999999962,30.037607065621874,13.216456809403955,180.74233548320532
44.29999999999962,29.872400226760952,13.143767425695604,179.89577769287536
44.34999999999962,29.708102025513767,13.071477813280268,179.05299084038063
44.399999999999615,29.54470746437344,12.999585773781549,178.21395949597738
44.44999999999961,29.38221157331939,12.928089120907535,177.37866828292957
44.49999999999961,29.22060940966613,12.856985680384456,176.54710187740832
44.549999999999606,29.05989605791297,12.7862732898907,175.7192450083908
44.5999999999996,28.90006662959445,12.715949798991188,174.8950824575585
44.6499999999996,28.74111626313168,12.646013069072117,174.07459905919498
44.6999999999996,28.583040123684455,12.576460973276044,173.25777970008312
44.749999999999595,28.42583340300419,12.50729139643734,172.4446093194016
44.79999999999959,28.269491319287667,12.43850223501799,171.63507290862105
44.84999999999959,28.114009117031586,12.37009139704375,170.82915551139965
44.89999999999959,27.959382066887912,12.302056802040635,170.02684222347804
44.949999999999584,27.805605465520028,12.234396380971788,169.2281181925739
44.99999999999958,27.652674635459668,12.167108076174655,168.43296861827596
45.04999999999958,27.50058492496464,12.100189841298539,167.64137875193745
45.099999999999575,27.349331707877337,12.03363964124247,166.8533338965692
45.14999999999957,27.198910383484012,11.96745545209343,166.06881940673216
45.19999999999957,27.04931637637485,11.90163526106491,165.28782068842946
45.24999999999957,26.90054513630479,11.836177066435804,164.51032319899807
45.299999999999564,26.752592138055114,11.771078877489636,163.73631244699993
45.34999999999956,26.60545288129581,11.706338714454125,162.96577399211276
45.39999999999956,26.459122890448683,11.641954608441077,162.19869344502027
45.449999999999555,26.313597714551214,11.577924601386606,161.43505646730208
45.49999999999955,26.168872927121182,11.514246745991679,160.6748487713232
45.54999999999955,26.024944126022014,11.450919105662996,159.9180561201231
45.59999999999955,25.881806933328892,11.387939754454182,159.1646643273043
45.649999999999544,25.739456995195585,11.325306777007317,158.41465925692066
45.69999999999954,25.59788998172201,11.263018268494761,157.66802682336527
45.74999999999954,25.45710158682254,11.201072334561326,156.92475299125798
45.799999999999535,25.317087528095016,11.139467091266747,156.18482377533252
45.84999999999953,25.177843546690493,11.078200665028469,155.44822524032332
45.89999999999953,25.039365407183695,11.017271192564754,154.7149435008519
45.94999999999953,24.901648897444183,10.9566768208381,153.98496472131293
45.999999999999524,24.76468982850824,10.896415706998956,153.25827511576014
46.04999999999952,24.628484034451443,10.83648601832977,152.53486094779157
46.09999999999952,24.49302737226196,10.776885932189318,151.81470853043476
46.149999999999515,24.35831572171452,10.71761363595735,151.09780422603154
46.19999999999951,24.22434498524509,10.658667326979549,150.38413444612257
46.24999999999951,24.091111087826242,10.600045212512764,149.67368565133148
46.29999999999951,23.9586099768432,10.541745509670578,148.96644435124873
46.349999999999504,23.82683762197056,10.483766445369145,148.2623971043153
46.3999999999995,23.695790015049724,10.42610625627334,147.56153051770607
46.4499999999995,23.56546316996695,10.368763188743193,146.86383124721277
46.499999999999496,23.435853122532134,10.311735498780633,146.16928599712688
46.54999999999949,23.306955930358207,10.255021451976509,145.47788152012217
46.59999999999949,23.178767672741238,10.198619323457901,144.789604617137
46.64999999999949,23.05128445054116,10.142527397835735,144.10444213725643
46.699999999999484,22.924502386063185,10.086743969152668,143.42238097759395
46.74999999999948,22.798417622939837,10.031267340831267,142.74340808317314
46.79999999999948,22.67302632601367,9.976095825622473,142.06751044680905
46.849999999999476,22.548324681220596,9.921227745554344,141.3946751089894
46.89999999999947,22.42430889547388,9.866661431881079,140.72488915775543
46.94999999999947,22.300975196548777,9.812395225032326,140.05813972858274
46.99999999999947,22.17831983296776,9.758427474562762,139.39441400426182
47.049999999999464,22.056339073886438,9.704756539101954,138.73369921477837
47.09999999999946,21.935029208980062,9.651380786304495,138.07598263719353
47.14999999999946,21.81438654833067,9.598298592800404,137.42125159552384
47.199999999999456,21.694407422314853,9.545508344145816,136.7694934606211
47.24999999999945,21.57508818149212,9.493008434773923,136.120695650052
47.29999999999945,21.456425196493914,9.440797267946198,135.47484562797763
47.34999999999945,21.338414857913197,9.388873255703883,134.8319309050328
47.399999999999444,21.221053576194674,9.337234818819736,134.19193903820528
47.44999999999944,21.104337781525604,9.285880386750051,133.5548576307148
47.49999999999944,20.988263923727214,9.23480839758694,132.920674331892
47.549999999999436,20.872828472146715,9.184017298010875,132.2893768370572
47.59999999999943,20.758027915549906,9.133505543243487,131.66095288739905
47.64999999999943,20.643858762014382,9.083271597000628,131.03539026985302
47.69999999999943,20.530317538823304,9.033313931445695,130.4126768169799
47.749999999999424,20.417400792359775,8.9836310271432,129.79280040684407
47.79999999999942,20.305105088001795,8.934221373012601,129.1757489628916
47.84999999999942,20.193427010017786,8.885083466282385,128.56151045382848
47.899999999999416,20.082363161462688,8.836215812444399,127.95007289349859
47.94999999999941,19.971910164074643,8.787616925208445,127.34142434076159
47.99999999999941,19.862064658172233,8.739285326457104,126.73555289937077
48.04999999999941,19.752823302552287,8.691219546200823,126.13244671785078
48.099999999999405,19.64418277438825,8.643418122533246,125.5320939893753
48.1499999999994,19.536139769129115,8.595879601586784,124.93448295164464
48.1999999999994,19.428691000398903,8.548602537488431,124.33960188676333
48.249999999999396,19.32183319989671,8.501585492315833,123.74743912111755
48.29999999999939,19.215563117297275,8.45482703605358,123.15798302525253
48.34999999999939,19.10987752015214,8.40832574654975,122.57122201374999
48.39999999999939,19.0047731937913,8.36208020947269,121.98714454510538
48.449999999999385,18.90024694122545,8.316089018268034,121.40573912160525
48.49999999999938,18.79629558304871,8.270350774115949,120.82699428920445
48.54999999999938,18.692915957341942,8.22486408588863,120.25089863740331
48.599999999999376,18.59010491957656,8.179627570108016,119.67744079912488
48.64999999999937,18.487859342518888,8.134639850903742,119.10660945059207
48.69999999999937,18.386176116135033,8.089899559971329,118.53839331120479
48.74999999999937,18.28505214749629,8.045405336530587,117.97278114341704
48.799999999999365,18.18448436068506,8.001155827284267,117.40976175261409
48.84999999999936,18.084469696701294,7.957149686376917,116.84932398698952
48.89999999999936,17.985005113369436,7.91338557535399,116.29145673742237
48.949999999999356,17.886087585245903,7.86986216312115,115.7361489373542
48.99999999999935,17.78771410352705,7.826578125903821,115.18338956266626
49.04999999999935,17.689881675957654,7.783532147206952,114.63316763155653
49.09999999999935,17.59258732673989,7.740722917774994,114.08547220441692
49.149999999999345,17.495828096442818,7.698149135552113,113.54029238371037
49.19999999999934,17.399601041912383,7.655809505642611,112.99761731384804
49.24999999999934,17.303903236181867,7.613702740271562,112.45743618106651
49.299999999999336,17.208731768382865,7.5718275587456745,111.919738213305
49.34999999999933,17.11408374365676,7.530182687414358,111.3845126800826
